2026-05-04 01:38:35 | INFO    | ontchatbot.ner.inference           | [preprocess] words(n=9)=['cho', 'tôi', 'thông_tin', 'về', 'văn_phòng', 'và', 'phòng', 'kế_hoạch', 'tài_chính']
2026-05-04 01:38:35 | INFO    | ontchatbot.ner.inference           | [ner] tags=[('cho', 'O'), ('tôi', 'O'), ('thông_tin', 'O'), ('về', 'O'), ('văn_phòng', 'B-PhongBanHanhChinh'), ('và', 'O'), ('phòng', 'B-PhongBanHanhChinh'), ('kế_hoạch', 'I-PhongBanHanhChinh'), ('tài_chính', 'I-PhongBanHanhChinh')]
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [ner] extracted=2 spans=[{'surface': 'văn phòng', 'tag': 'PhongBanHanhChinh', 'start': 4, 'end': 5}, {'surface': 'phòng kế hoạch tài chính', 'tag': 'PhongBanHanhChinh', 'start': 6, 'end': 9}]
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='văn phòng' tag=PhongBanHanhChinh candidates=[('VanPhongTruong', 100.0), ('PhongDaoTaoDaiHoc', 76.92), ('PhongCTSV', 71.43)]
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='văn phòng' tag=PhongBanHanhChinh -> iri=VanPhongTruong score=100.00
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [fuzzy] surface='phòng kế hoạch tài chính' tag=PhongBanHanhChinh candidates=[('PhongKHTC', 100.0), ('PhongDaoTaoDaiHoc', 76.92), ('VanPhongTruong', 71.43)]
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [fuzzy] pick surface='phòng kế hoạch tài chính' tag=PhongBanHanhChinh -> iri=PhongKHTC score=100.00
2026-05-04 01:38:35 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=PhongBanHanhChinh iri=VanPhongTruong keys=['email', 'head', 'iri', 'kind', 'label', 'location', 'phone', 'website']
2026-05-04 01:38:35 | INFO    | ontchatbot.ontology.response       | [render] tag=PhongBanHanhChinh iri=VanPhongTruong chars=173
2026-05-04 01:38:35 | INFO    | ontchatbot.ontology.queries        | [fetch] tag=PhongBanHanhChinh iri=PhongKHTC keys=['email', 'head', 'iri', 'kind', 'label', 'location', 'phone', 'website']
2026-05-04 01:38:35 | INFO    | ontchatbot.ontology.response       | [render] tag=PhongBanHanhChinh iri=PhongKHTC chars=208
2026-05-04 01:38:35 | INFO    | ontchatbot.pipeline                | [compose] greeting=False n_matched=2 block_chars=383 reply_chars=383
2026-05-04 01:38:35 | INFO    | ontchatbot.api.server              | [http] rid=403debbf status=200 elapsed=142.8ms
2026-05-04 01:40:02 | INFO    | ontchatbot.api.server              | [shutdown] FastAPI stopping
